time_ms,ax,ay,az
15,-0.0,-0.0,-0.0
39,-0.0,-0.0,-0.0
64,-0.0,-0.0,-0.0
88,-0.0,-0.0,-0.0
114,-0.0,-0.0,-0.0
137,-0.0,-0.0,-0.0
166,-0.0,-0.0,-0.0
190,-0.0,-0.0,-0.0
215,-0.0,-0.0,-0.0
240,-0.0,-0.0,-0.0
264,-0.0,-0.0,-0.0
289,-0.0,-0.0,-0.0
313,-0.0,-0.0,-0.0
338,-0.0,-0.0,-0.0
363,-0.0,-0.0,-0.0
387,-0.0,-0.0,-0.0
416,-0.0,-0.0,-0.0
440,-0.0,-0.0,-0.0
465,-0.0,-0.0,-0.0
489,-0.0,-0.0,-0.0
514,-0.0,-0.0,-0.0
539,-0.0,-0.0,-0.0
563,-0.0,-0.0,-0.0
588,-0.0,-0.0,-0.0
612,-0.0,-0.0,-0.0
637,-0.0,-0.0,-0.0
662,-0.0,-0.0,-0.0
690,-0.0,-0.0,-0.0
715,-0.0,-0.0,-0.0
739,-0.0,-0.0,-0.0
764,-0.0,-0.0,-0.0
788,-0.0,-0.0,-0.0
813,-0.0,-0.0,-0.0
838,-0.0,-0.0,-0.0
862,-0.0,-0.0,-0.0
887,-0.0,-0.0,-0.0
911,-0.0,-0.0,-0.0
940,-0.0,-0.0,-0.0
965,-0.0,-0.0,-0.0
989,-0.0,-0.0,-0.0
1014,-0.0,-0.0,-0.0
1038,-0.0,-0.0,-0.0
1063,-0.0,-0.0,-0.0
1087,-0.0,-0.0,-0.0
1112,-0.0,-0.0,-0.0
1137,-0.0,-0.0,-0.0
1161,-0.0,-0.0,-0.0
1190,-0.0,-0.0,-0.0
1215,-0.0,-0.0,-0.0
1239,-0.0,-0.0,-0.0
1263,-0.0,-0.0,-0.0
1288,-0.0,-0.0,-0.0
1313,-0.0,-0.0,-0.0
1337,-0.0,-0.0,-0.0
1362,-0.0,-0.0,-0.0
1386,-0.0,-0.0,-0.0
1411,-0.0,-0.0,-0.0
1440,-0.0,-0.0,-0.0
1465,-0.0,-0.0,-0.0
1489,-0.0,-0.0,-0.0
1514,-0.0,-0.0,-0.0
1538,-0.0,-0.0,-0.0
