time_ms,ax,ay,az
12,-0.0,-0.0,-0.0
37,-0.0,-0.0,-0.0
66,-0.0,-0.0,-0.0
90,-0.0,-0.0,-0.0
115,-0.0,-0.0,-0.0
139,-0.0,-0.0,-0.0
164,-0.0,-0.0,-0.0
188,-0.0,-0.0,-0.0
213,-0.0,-0.0,-0.0
238,-0.0,-0.0,-0.0
262,-0.0,-0.0,-0.0
287,-0.0,-0.0,-0.0
311,-0.0,-0.0,-0.0
340,-0.0,-0.0,-0.0
364,-0.0,-0.0,-0.0
389,-0.0,-0.0,-0.0
414,-0.0,-0.0,-0.0
438,-0.0,-0.0,-0.0
463,-0.0,-0.0,-0.0
487,-0.0,-0.0,-0.0
512,-0.0,-0.0,-0.0
537,-0.0,-0.0,-0.0
561,-0.0,-0.0,-0.0
590,-0.0,-0.0,-0.0
614,-0.0,-0.0,-0.0
639,-0.0,-0.0,-0.0
664,-0.0,-0.0,-0.0
688,-0.0,-0.0,-0.0
713,-0.0,-0.0,-0.0
737,-0.0,-0.0,-0.0
762,-0.0,-0.0,-0.0
787,-0.0,-0.0,-0.0
811,-0.0,-0.0,-0.0
840,-0.0,-0.0,-0.0
864,-0.0,-0.0,-0.0
889,-0.0,-0.0,-0.0
913,-0.0,-0.0,-0.0
938,-0.0,-0.0,-0.0
963,-0.0,-0.0,-0.0
987,-0.0,-0.0,-0.0
1012,-0.0,-0.0,-0.0
1037,-0.0,-0.0,-0.0
1061,-0.0,-0.0,-0.0
1090,-0.0,-0.0,-0.0
1114,-0.0,-0.0,-0.0
1139,-0.0,-0.0,-0.0
1163,-0.0,-0.0,-0.0
1188,-0.0,-0.0,-0.0
1212,-0.0,-0.0,-0.0
1237,-0.0,-0.0,-0.0
1262,-0.0,-0.0,-0.0
1287,-0.0,-0.0,-0.0
1311,-0.0,-0.0,-0.0
1340,-0.0,-0.0,-0.0
1364,-0.0,-0.0,-0.0
1388,-0.0,-0.0,-0.0
1413,-0.0,-0.0,-0.0
1438,-0.0,-0.0,-0.0
1462,-0.0,-0.0,-0.0
1487,-0.0,-0.0,-0.0
1511,-0.0,-0.0,-0.0
1536,-0.0,-0.0,-0.0
1560,-0.0,-0.0,-0.0
1585,-0.0,-0.0,-0.0
1614,-0.0,-0.0,-0.0
1639,-0.0,-0.0,-0.0
1663,-0.0,-0.0,-0.0
1688,-0.0,-0.0,-0.0
1712,-0.0,-0.0,-0.0
1736,-0.0,-0.0,-0.0
1761,-0.0,-0.0,-0.0
1786,-0.0,-0.0,-0.0
1810,-0.0,-0.0,-0.0
1835,-0.0,-0.0,-0.0
1863,-0.0,-0.0,-0.0
1888,-0.0,-0.0,-0.0
1913,-0.0,-0.0,-0.0
1937,-0.0,-0.0,-0.0
1962,-0.0,-0.0,-0.0
1986,-0.0,-0.0,-0.0
2011,-0.0,-0.0,-0.0
2036,-0.0,-0.0,-0.0
2060,-0.0,-0.0,-0.0
2085,-0.0,-0.0,-0.0
2113,-0.0,-0.0,-0.0
2138,-0.0,-0.0,-0.0
2163,-0.0,-0.0,-0.0
2187,-0.0,-0.0,-0.0
2212,-0.0,-0.0,-0.0
2236,-0.0,-0.0,-0.0
2261,-0.0,-0.0,-0.0
2286,-0.0,-0.0,-0.0
2310,-0.0,-0.0,-0.0
2335,-0.0,-0.0,-0.0
2363,-0.0,-0.0,-0.0
2388,-0.0,-0.0,-0.0
2412,-0.0,-0.0,-0.0
2437,-0.0,-0.0,-0.0
2461,-0.0,-0.0,-0.0
2486,-0.0,-0.0,-0.0
2511,-0.0,-0.0,-0.0
