time_ms,command
1413,d
1433,d+w
1454,d+w
1476,d+w
1497,d+w
1518,d+w
1539,d+w
1559,d+w
1580,d+w
1602,d+w
1622,d+w
1643,d+w
1664,d+w
1685,d+w
1706,d+w
1727,d+w
1748,d+w
1769,d+w
1790,d+w
1811,d+w
1832,d+w
1853,d+w
1875,d+w
1896,d+w
1917,d+w
1938,d+w
1959,d+w
1980,d+w
2001,d+w
2022,d+w
2044,d+w
2064,d+w
2086,d+w
2106,d+w
2128,d+w
2149,d+w
2170,d+w
2191,d+w
2212,d+w
2232,d+w
2253,d+w
2271,e
2274,w
2294,w
2315,w
2336,w
2357,w
2368,r
2439,w
2460,a+w
2481,a+w
2503,a+w
2524,a+w
2544,a+w
2565,a+w
2587,a+w
2608,a+w
2629,a+w
2650,a+w
2671,a+w
2691,a+w
2713,a+w
2734,a+w
2755,a+w
2776,a+w
2797,a+w
2818,a+w
2839,a+w
2860,a+w
2881,a+w
2902,a+w
2922,e
2922,w
2944,w
2949,r
3005,d
3026,d
3047,d
3068,d
3089,d
3110,d+w
3131,d+w
3152,d+w
3173,d+w
3195,d+w
3215,d+w
3236,d+w
3257,d+w
3278,d+w
3299,d+w
3320,d+w
3341,d+w
3363,d+w
3384,d+w
3405,d+w
3427,d+w
3447,d+w
3468,d+w
3489,d+w
3511,d+w
3532,d+w
3553,d+w
3573,d+w
3594,d+w
3614,d+w
3618,r
3622,e
3760,a
3781,a
3802,a
3823,a
3844,a+w
3864,a+w
3886,a+w
3907,a+w
3928,a+w
3949,a+w
3970,a+w
3991,a+w
4012,a+w
4032,a+w
4053,a+w
4074,a+w
4095,a+w
4117,a+w
4137,a+w
4158,a+w
4180,a+w
4181,e
4201,w
4222,w
4239,r
4780,q
5515,w
5536,w
5557,w
5578,w
5598,w
5620,w
5640,w
5662,w
5683,w
5704,w
5725,w
5746,w
5767,w
5787,w
5808,w
5828,w
5849,w
5870,w
5891,w
5912,w
5933,w
5954,w
5976,w
5997,w
6018,w
6039,w
6060,w
6081,w
6102,w
6122,w
6144,w
6164,w
6185,w
6206,w
6227,w
6248,w
6268,w
6289,w
6309,w
6330,w
6351,w
6360,1
6371,w
6392,w
6414,w
6435,w
6456,w
6477,w
6498,w
6518,w
6540,w
6561,w
6582,w
6603,w
6624,w
6645,w
6665,w
6686,w
6707,w
6728,w
6739,2
6749,w
6771,w
6792,w
6813,w
6834,w
6855,w
6875,w
6896,w
6917,w
6938,w
6960,w
6981,w
7002,w
7022,w
7043,w
7064,w
7085,w
7106,w
7126,w
7147,w
7168,w
7188,w
7210,w
7230,w
7251,w
7272,w
7292,w
7313,w
7333,w
7354,w
7375,w
7396,w
7414,3
7416,w
7437,w
7458,w
7480,w
7500,w
7521,w
7542,w
7563,w
7585,w
7606,w
7627,w
7647,w
7668,w
7689,w
7710,w
7730,w
7751,w
7773,w
7793,w
7814,w
7835,w
7856,w
7877,w
7898,w
7919,w
7940,w
7960,w
7981,w
8001,w
8022,w
8043,w
8064,w
8085,w
8106,w
8126,w
8147,w
8168,w
8189,w
8211,w
8231,w
8252,w
8273,w
8294,w
8314,w
8335,w
8355,w
8377,w
8397,w
8410,r
8459,a
8480,a
8502,a
8523,a
8544,a
8564,a
8585,a
8606,a
8628,a
8649,a
8670,a
8691,a
8706,e
8732,d
8753,d
8774,d
8795,d
8816,d
8838,d
8859,d
8880,d
8884,e
8921,a
8943,a
8963,a
8984,a
9006,a
9027,a
9047,a
9068,a
9089,a
9110,a
9126,e
9172,d
9193,d
9214,d
9234,d
9255,d
9276,d
9296,d
9317,d
9338,d
9359,d
9377,e
9442,a
9463,a
9484,a
9505,a
9526,a
9547,a
9567,a
9588,a
9595,e
9952,1
10261,q
11623,x
