time_ms,command
1147,w
1441,stop
2836,w
7165,stop
8449,s
11752,stop
19195,q
22794,a
22930,stop
23107,d
23321,stop
23495,a
23721,stop
23792,d
24117,stop
24176,a
24389,stop
24411,d
24689,stop
24789,a
25174,stop
25183,d
25788,stop
25809,a
26292,stop
26323,d
26811,stop
26898,a
27212,stop
27779,w
28496,stop
28804,w
35503,stop
35611,s
37147,stop
42694,d
43157,stop
43232,a
43950,stop
44159,d
44635,stop
44803,a
45144,stop
45223,d
45702,stop
45792,a
46364,stop
49019,d
49664,stop
49799,a
50744,stop
51197,d
51552,stop
51931,d
52134,stop
53929,d
54157,stop
54291,a
54993,stop
55169,d
55549,stop
